pref_id,pref_name,year,month,year_month,n_leave_m,n_leave_f,pop,pop75,oldshare75,n_need,facility_users,u_rate,n_ei,date,moy,w_total,ln_ratio_mf,t_index,ln_ei,ln_need,ln_fac,z_u_rate,z_ln_ei,z_ln_need,z_ln_fac,z_oldshare75
1,Hokkaido,2014,1,201401,3,16,5431000,739000,0.136,136383,41856,4.6,1413380,2014-01-01,01,19,-1.55059741241117,0,14.1614945568628,11.823222383193,10.6419904348169,2.71454935777721,1.12721983880209,1.3866819592516,1.5608933983482,-0.546828414678714
2,Aomori,2014,1,201401,0,7,1335000,196000,0.147,44977,11434,4.8,339299,2014-01-01,01,7,-2.70805020110221,0,12.7346370035237,10.7139065269795,9.34434665182392,2.9919431771886,-0.56681859406916,-0.294841257317802,-0.528554402628436,-0.0157924148874103
3,Iwate,2014,1,201401,1,7,1295000,204000,0.158,41879,12883,3.1,355575,2014-01-01,01,8,-1.6094379124341,0,12.7814914764384,10.6425397869535,9.46366389179152,0.634095712191742,-0.51119056190589,-0.403020392748495,-0.336431457998822,0.515243584903895
4,Miyagi,2014,1,201401,3,8,2328000,285000,0.122,54464,15915,4,674364,2014-01-01,01,11,-0.887303195000903,0,13.4215253034621,10.905295211933,9.67501733971619,1.88236789954302,0.248690407836542,-0.00473045133282475,0.00388689653178093,-1.2226924144131
5,Akita,2014,1,201401,0,4,1050000,187000,0.178,41063,11722,4.4,278992,2014-01-01,01,4,-2.19722457733622,0,12.5389383865573,10.622862751713,9.36922269703637,2.43715553836581,-0.799162024305033,-0.432847237289503,-0.488499343877043,1.48076358452445
6,Yamagata,2014,1,201401,2,8,1141000,189000,0.166,36812,11591,3.3,311201,2014-01-01,01,10,-1.22377543162212,0,12.6481942846488,10.5135791579587,9.35798421388875,0.911489531603137,-0.66944782126367,-0.598501499832084,-0.506595391657556,0.901451584752117
7,Fukushima,2014,1,201401,4,8,1946000,286000,0.147,58752,16914,3.4,533085,2014-01-01,01,12,-0.635988766719997,0,13.1864361651049,10.9810804739802,9.73589696034217,1.05018644130883,-0.0304194686858795,0.110146368368468,0.101914406938251,-0.0157924148874103
8,Ibaraki,2014,1,201401,2,12,2931000,344000,0.117,66167,22268,3.6,729025,2014-01-01,01,14,-1.6094379124341,0,13.4994633039556,11.099937128212,10.0109059493034,1.32758026072023,0.341222397388133,0.290311667922309,0.544730019947642,-1.46407241431824
9,Tochigi,2014,1,201401,3,4,1986000,233000,0.117,44285,12649,3.3,526223,2014-01-01,01,7,-0.251314428280906,0,13.1734803562492,10.6984012982437,9.44533343964754,0.911489531603137,-0.0458012691179847,-0.318344393914583,-0.365946894688863,-1.46407241431824
10,Gunma,2014,1,201401,1,5,1984000,251000,0.127,49302,15294,3.4,555598,2014-01-01,01,6,-1.29928298413026,0,13.2278002901438,10.8057199271592,9.63521587360417,1.05018644130883,0.0186901410253449,-0.155668664471857,-0.0602008654051659,-0.981312414507964
