effect,pct,lo,hi,k,donut16,donut17,controls
2017+ total (female baseline),12.6206965688605,7.93512797818645,17.5096702365392,3,0,0,TRUE
2017+ male add-on,15.4165926995032,10.4868528796371,20.5662893201847,3,0,0,TRUE
2017+ total (male),29.9829706542251,22.4613376523146,37.9665858955918,3,0,0,TRUE
2017+ total (female baseline),12.6524018977711,7.39106898144397,18.1714994896805,3,1,1,TRUE
2017+ male add-on,16.1824006716312,11.2546912705419,21.3283689134424,3,1,1,TRUE
2017+ total (male),30.8822649390847,22.2013683571682,40.1798319108586,3,1,1,TRUE
2017+ total (female baseline),10.312047747178,4.9416694932773,15.9572545103756,3,2,1,TRUE
2017+ male add-on,15.7452003853127,10.8045830602713,20.9061127457971,3,2,1,TRUE
2017+ total (male),27.680900714113,18.8729766821389,37.1414501612012,3,2,1,TRUE
2017+ total (female baseline),9.73099137120643,4.33757410234619,15.4032051339118,3,2,2,TRUE
2017+ male add-on,15.7190103512408,10.6884096960487,20.9782432816776,3,2,2,TRUE
2017+ total (male),26.9796172633655,18.2359743613329,36.369859405699,3,2,2,TRUE
2017+ total (female baseline),17.9326004341409,13.6856742655073,22.3381779192079,3,0,0,FALSE
2017+ male add-on,15.4165926995031,10.4886405355993,20.5643386124475,3,0,0,FALSE
2017+ total (male),36.1137891030048,28.8325577020726,43.8065339572097,3,0,0,FALSE
2017+ total (female baseline),12.580432142462,7.74348409068681,17.6345261929306,4,0,0,TRUE
2017+ male add-on,15.4024153273583,10.6245692237802,20.3866153498682,4,0,0,TRUE
2017+ total (male),29.9205378783788,22.1555170820533,38.1791552752317,4,0,0,TRUE
2017+ total (female baseline),12.2098429574013,6.93083792235612,17.7494640570121,4,1,1,TRUE
2017+ male add-on,16.1561117108628,11.1414241153176,21.3970614033812,4,1,1,TRUE
2017+ total (male),30.3385905361827,21.7252691067161,39.5613935185903,4,1,1,TRUE
2017+ total (female baseline),9.7943990153669,4.41663217709198,15.4491368262144,4,2,1,TRUE
2017+ male add-on,15.7190103512404,10.6877189860882,20.9789982062376,4,2,1,TRUE
2017+ total (male),27.0529919616746,18.3336573219365,36.4148048132786,4,2,1,TRUE
2017+ total (female baseline),13.6330531563265,8.13823902407553,19.4070745571668,4,2,2,TRUE
2017+ male add-on,15.8805449031815,10.9813982702409,20.9959587494131,4,2,2,TRUE
2017+ total (male),31.6786011876729,22.959383459314,41.0161105474281,4,2,2,TRUE
2017+ total (female baseline),18.2078681527293,13.8075021860348,22.7783742267884,4,0,0,FALSE
2017+ male add-on,15.4024153273578,10.6263029933962,20.3847286136189,4,0,0,FALSE
2017+ total (male),36.4147349552281,28.9842230100065,44.2733031888827,4,0,0,FALSE
2017+ total (female baseline),11.4591919412261,6.03470561714574,17.1611822363777,5,0,0,TRUE
2017+ male add-on,15.8135384497757,10.8740022567493,20.9731354082259,5,0,0,TRUE
2017+ total (male),29.0848341146612,20.0209177113514,38.8332527041963,5,0,0,TRUE
2017+ total (female baseline),15.9883081605887,10.7213287982985,21.5058361019457,5,1,1,TRUE
2017+ male add-on,16.3182564216,11.4449974414304,21.4046129264054,5,1,1,TRUE
2017+ total (male),34.9155777053092,26.4798680057847,43.913916060735,5,1,1,TRUE
2017+ total (female baseline),13.6188482293998,8.24860400191641,19.2555118100816,5,2,1,TRUE
2017+ male add-on,15.8805449031811,10.9808563530425,20.9965495701461,5,2,1,TRUE
2017+ total (male),31.6621404409469,23.0956788934474,40.8247582800762,5,2,1,TRUE
2017+ total (female baseline),13.6584228459556,8.07924414699477,19.5256053628615,5,2,2,TRUE
2017+ male add-on,16.0024381677741,11.3648941087334,20.8331024652137,5,2,2,TRUE
2017+ total (male),31.846541684347,23.3012142784117,40.9840986226674,5,2,2,TRUE
2017+ total (female baseline),17.5429504759039,12.7881742010486,22.4981723877604,5,0,0,FALSE
2017+ male add-on,15.8135384497773,10.8757935237193,20.9711810124605,5,0,0,FALSE
2017+ total (male),36.1306501444136,27.7387176707367,45.0738996496603,5,0,0,FALSE
